SKU,PRICE
1006619,62.96
1006620,15.35
1006622,60.19
1006623,22.85
1006624,24.35
1006625,25.93
1006626,15.35
1006627,20.6
1006628,15.35
1003361,19.1
1003362,19.1
1003363,19.1
1003364,19.1
1003365,19.1
1003366,22.85
1003367,22.85
1003368,22.85
1003369,22.85
1003370,22.85
1003371,29.63
1003372,20.6
1003374,16.1
1003376,17.6
1003378,17.6
1003380,15.35
1003382,15.35
1003396,14.6
1003397,14.6
1003401,54.63
1003402,25.93
1003404,16.1
1003405,18.35
1003406,19.85
1003407,19.1
1003408,19.85
1003413,19.1
1003417,25.0
1003418,25.0
1003419,25.0
1003420,13.85
1003421,13.85
1003422,13.85
1006574,54.63
1006577,54.63
1006578,54.63
1006579,54.63
1006581,25.93
1006582,25.93
1006583,25.93
1006584,25.93
1006585,25.93
1006593,33.33
1006595,22.85
1006596,22.1
1006597,29.63
1006598,29.63
1006599,29.63
1006602,29.63
1006603,29.63
1006605,55.56
1006606,55.56
1006607,55.56
1006608,55.56
1006609,55.56
1006610,55.56
1006611,55.56
1006612,75.0
1006613,75.0
1006614,75.0
1006615,75.0
1006616,75.0
1006617,75.0
1006618,75.0
4004587,48.78
4004588,48.89
4004596,44.85
4004595,66.67
4004593,48.78
4004592,44.85
4004591,48.89
4004590,44.85
4004589,44.85
4004112,49.37
4004111,17.1
4004110,19.84
5002078,450.0
5002072,519.0
5002096,519.0
5002097,433.33
5002073,450.0
5002095,433.33
5002075,433.33
5002074,446.67
4003172,70.59
4003173,18.15
4003174,18.15
4003175,18.15
4003176,21.35
4003178,12.26
4003179,93.88
4003180,66.67
4003181,61.11
4003168,222.22
4003171,33.95
4003169,71.35
4003170,71.35
5002080,449.0
5002071,569.0
5002070,569.0
5000650,10.83
5000652,10.83
5000653,10.83
5000654,10.83
5000655,10.83
5000656,10.83
5000667,9.64
5000658,10.83
5000659,10.83
5000661,12.84
5000664,9.64
5000666,9.64
5000657,10.83
9007117,80.0
9007118,65.0
9007119,36.0
9007120,72.0
9007121,72.0
9007122,81.0
5002231,13.35
5002232,14.81
5002233,35.86
5002234,17.72
5002235,10.0
5002236,9.83
5002237,113.43
5002239,21.45
5002240,29.77
5002241,14.4
5002243,26.14
5002245,32.79
5002246,34.84
5002247,46.11
5002263,32.24
2151163,13.39
2161186,14.82
2100011,15.5
2100013,25.34
2100014,25.34
2100006,25.13
2100023,105.54
2100003,25.13
2100018,60.0
4004736,10.04
4004737,10.64
4004738,10.04
4004740,13.09
4004741,7.33
4004742,10.28
4004690,14.54
4004691,12.84
4004693,17.4
4004694,19.53
4004695,17.4
4004696,14.19
4004697,14.19
4004698,17.63
4004703,11.84
4004704,11.84
4004705,11.84
4004679,11.84
4004680,11.84
4004681,10.04
4004682,11.84
4004684,18.54
4004686,19.84
4004687,24.99
4004688,14.54
4004689,14.54
4004706,12.34
4004725,10.04
4004726,9.04
4004727,8.04
4004728,10.04
4004729,12.04
4004730,10.04
4004731,10.04
4004732,10.04
4004733,10.04
4004734,13.34
4004735,10.04
9004597,24.0
9004598,68.29
4000594,131.05
4000595,131.05
4000591,38.92
4000588,46.88
4000589,17.35
4000596,64.02
4011216,25.0
4011217,14.35
4011218,16.85
4011219,20.6
4011220,14.35
4011221,15.1
4011222,14.35
4011223,15.1
4011224,14.5
4011225,14.5
4011226,14.5
4011227,14.5
4010594,30.85
4010595,21.1
4010596,19.6
4010597,21.85
4010598,21.85
4010599,22.33
4010600,34.81
4010592,31.85
4010593,28.85
4006878,27.44
4006879,27.35
290749,20.35
190930,29.38
190794,31.3
190909,18.35
185141,29.74
185332,29.54
186704,27.56
190954,65.63
191159,26.88
4000592,25.94
4000593,23.33
5001083,21.72
5001084,27.77
5001085,37.02
5001090,34.56
5001091,16.84
5000783,54.16
890545,92.58
300113,7.4
300114,7.4
300126,6.44
300156,7.4
300172,17.57
730011,6.92
300118,6.92
300115,6.92
730019,8.97
730026,8.97
892518,9.31
730013,8.97
730175,17.56
730010,8.97
730097,8.79
300124,11.04
300125,11.04
300146,10.47
300147,10.47
730099,10.47
300105,10.8
730014,8.97
300119,8.56
5001124,14.85
3890279,37.02
5001063,34.56
5001064,34.56
5001065,34.56
5001066,16.84
5001068,16.84
5001069,16.84
5001070,46.28
5001071,138.88
5001072,17.23
5001073,17.23
5001074,19.84
5001075,18.34
5001076,23.59
5001078,111.1
5001079,111.1
5001080,111.1
5001081,99.99
5001082,99.99
GD346 : 6005064,37.38
GD346 : 6005062,37.38
9005347,17.35
9005348,17.6
9005351,20.68
9005352,34.46
9005353,28.72
9005355,16.24
9005356,17.6
9005357,45.95
9005358,6.55
9005359,8.83
9005360,13.39
303876,26.57
801139,14.63
801230,9.1
8011832,31.87
8100161,18.88
8006678,9.1
8104008,7.4
8001864,63.75
4610607,6.68
4102058,7.24
4001071,13.35
9005308,15.05
9005309,6.98
9005310,15.48
9005312,7.83
9005313,15.48
9005316,11.01
9005317,27.57
9005318,9.1
9005319,28.72
9005320,12.08
9005321,22.97
9005322,11.23
9005361,11.12
9005362,8.89
9005363,7.05
9005324,32.43
9005325,6.55
9005326,32.43
9005327,10.8
9005328,14.63
9005330,71.8
9005331,15.48
9005332,43.08
9005333,114.86
9005334,12.93
9005336,8.68
9005338,7.4
9005339,11.23
9005340,6.55
9005341,22.97
9005342,45.95
9005343,15.48
9005344,63.18
9005345,17.18
9005346,14.2
71002,35.72
711512,43.49
720507,55.99
720354,74.81
684538,65.51
684835,73.88
684101,52.4
684049,45.32
684117,20.85
711505,33.56
712601,30.28
712618,38.98
713707,20.9
713714,32.1
714803,10.74
603008,7.18
711019,31.0
720637,62.22
4010510,18.35
4010511,13.85
4010512,13.85
4010513,13.85
4010514,16.11
4010521,14.61
4010516,16.11
4010518,13.85
4010519,14.61
4010520,14.61
4010515,16.11
800103,19.39
800105,22.7
800188,34.31
800110,48.49
800101,24.91
800118,35.38
800199,39.44
800120,48.52
800102,29.69
800178,65.58
4003447,37.35
4003432,110.0
4003450,14.85
4003451,14.85
4003454,8.35
4003455,11.35
4003456,10.85
4003458,52.94
4003464,10.85
4003467,15.85
4003468,14.85
4003460,52.94
4003437,26.85
4003438,26.85
4003439,26.85
4003442,20.85
4003443,20.85
4003444,22.85
4003445,36.85
4003446,32.85
4003436,26.85
4003424,60.0
4003425,76.67
4003430,37.85
4003431,82.22
4003448,16.35
6000440,10.05
6000501,13.65
1005320,68.89
1005323,128.89
1005324,128.89
1005325,128.89
1005326,128.89
1005327,128.89
1005328,128.89
1005329,12.85
1005330,35.25
