"A"	"Best Seller"
"B"	"Better Seller"
"C"	"Good Seller"
"D"	"Point of Purchase"
"E"	"Being Discontinued- May still order"
"F1"	"Discontinued by Vendor, Level 1"
"F2"	"Discontinued by Vendor, Level 2"
"F3"	"Discontinued by Vendor, Level 3"
"F4"	"Discontinued by Vendor, Level 4"
"F5"	"Discontinued by Vendor, Level 5"
"H"	"Hard to Get"
"M"	"Misc Items"
"S"	"Special Order Item"
"U"	"Unavailable"
"Y2"	"Discontinued by Moteng, Level 2"
"Y3"	"Discontinued by Moteng, Level 3"
"Y4"	"Discontinued by Moteng, Level 4"
"Y5"	"Discontinued by Moteng, Level 5"
