"CAAXXX"	"Command Arms Accessories"
"MARKSMAN"	"Marksman"
"WILDOX"	"Wildo"
"SCHRADE"	"Schrade"
"OLYMPI"	"Olympia"
"REDROC"	"Red Rock Gear"
"CTKXXX"	"Condor Tool & Knife"
"HAZARD"	"Hazard4"
"UMBUSH"	"Bushnell"
"ENERPL"	"EnerPlex"
"UNCLEMIKES"	"Uncle Mike's"
"KLYMIT"	"Klymit"
"PROELI"	"Proelia"
"UNCLBC"	"Butler Creek"
"KERSHAW"	"Kershaw"
"RENEGA"	"Renegade Tactical Steel"
"CAMCON"	"Camcon"
"HOWLEIGHT"	"Howard Leight"
"AMKXXX"	"Adventure Medical Kits"
"KIZERX"	"Kizer Knives"
"UCOXXX"	"UCO"
"MONADNOCK"	"Monadnock"
"COGHLA"	"Coghlan"
"LANSKN"	"Lansky"
"UZIXXX"	"Uzi"
"CRKTRU"	"Ruger"
"UNDERA"	"Under Armour"
"HCIGAR"	"H Cigar"
"ECOVES"	"Eco Vessel"
"GEIGERRIG"	"Geigerrig"
"UNCLHP"	"Hoppe's"
"RIVIER"	"Riviera RC"
"SIMMON"	"Simmons"
"WILEYX"	"Wiley X"
"SNUGPK"	"SnugPak"
"LIONGM"	"Liong Mah"
"ALPSBC"	"Browning Camping by Alps"
"VARGOX"	"Vargo"
"BREAKF"	"Break Free"
"DPXGEA"	"DPx Gear"
"SAFARILAND"	"Safariland"
"GERBER"	"Gerber"
"ASP"	"ASP"
"MOTENGCAT"	"Moteng"
"SMITHO"	"Smith Optics"
"ONTARIO"	"Ontario"
"GATCOX"	"Gatco Sharpeners"
"OLDTIM"	"Old Timer"
"MORAKN"	"Mora Knives"
"MANTIS"	"Mantis Knives"
"KITDAO"	"KitchenDAO"
"ZIPPO"	"Zippo"
"MAXPED"	"Maxpedition"
"BOKER"	"Boker"
"SWISSTECH"	"SwissTech"
"PHOTON"	"Photon"
"KILMAN"	"Kilimanjaro"
"PROFOR"	"ProForce"
"GASMON"	"Gas Monkey"
"ALPSCR"	"Alps Cedar Ridge"
"BROUSB"	"Brous Blades"
"GTKXXX"	"GT Knives"
"SABRE"	"Sabre"
"HWIXXX"	"HWI"
"MICROTECH"	"Microtech"
"SMITHWESS"	"Smith & Wesson"
"HUMVEE"	"Humvee"
"NITEIZE"	"Nite-Ize"
"SPYDERCO"	"Spyderco"
"UNCHEN"	"Uncle Henry"
"AQUAFO"	"AquaForce"
"GENPRO"	"GenPro"
"OLIGHT"	"OLIGHT"
"BRUNTO"	"Brunton"
"FORENS"	"Forensics Source"
"ALPSOZ"	"Alps OutdoorZ"
"TEXSPORT"	"Texsport"
"JETBEA"	"JetBeam"
"FOXKNV"	"Fox Knives"
"BKBHDE"	"Dynamic Entry by Blackhawk"
"HATCH"	"Hatch"
"UMTASC"	"Tasco"
"SOG"	"SOG"
"BLACKHAWK"	"Blackhawk"
"AQUAMI"	"Aquamira"
"UMBOLL"	"Bolle"
"DEFENS"	"Defense Tech"
"RUCKUP"	"RuckUp"
"HKXXXX"	"H&K"
"CAMILL"	"Camillus Knives"
"SCHIMP"	"Imperial Schrade"
"PEERLESS"	"Peerless"
"SUUNTO"	"Suunto"
"FALLKN"	"Fallkniven"
"TOOLLOGIC"	"Tool Logic"
"COLDST"	"Cold Steel"
"PSPROD"	"PS Products"
"NITEYE"	"Niteye"
"SMITHS"	"Smith's Sharpener"
"ALPSXX"	"Alps Mountaineering"
"BRITES"	"Brite Strike"
"LODGE"	"Lodge"
"511XXX"	"5.11 Tactical"
"BIANCHI"	"Bianchi"
"HOGUEX"	"Hogue"
"MECHNX"	"Mechanix Wear"
"JOYMUS"	"Mustang"
"HAVALO"	"Havalon Knives"
"ALTAIN"	"Alta Tactical"
"TACPRO"	"Tacprogear"
"NEXTOO"	"NexTool"
"KABECK"	"Becker"
"CRKT"	"Columbia River Knife & Tool"
"MARTTI"	"Marttiini Knives"
"BLADET"	"Blade Tech"
"PRINCETON"	"Princeton Tec"
"FREMON"	"Fremont Knives"
"UKEXXX"	"Underwater Kinetics"
"ALMAR"	"Al Mar"
"CAMOFO"	"CamoForm"
"NITCOR"	"NITECORE"
"LIGBRO"	"LighterBro"
"CANNAE"	"Cannae"
"WILCOM"	"Wilson Combat Knives"
"DISC"	"Discontinued"
"ALPENX"	"Alpen"
"DMT"	"DMT"
"INTERNAT"	"International-DISC"
"NECTAR"	"Nectar"
"CMBTVE"	"Combative Edge"
"FINNEY"	"Finney Knives"
"PRIMUS"	"Primus"
"BUCK"	"Buck"
"ULTSUR"	"Ultimate Survival"
"NDURXX"	"NDuR"
"UMSERE"	"Serengeti Eyewear"
"STRIKE"	"Strike Light"
"OUTEDG"	"Outdoor Edge"
"ECHOSI"	"Echo-Sigma Emergency Systems"
"KLARUS"	"Klarus"
"HOLLYW"	"Hollywood Collectibles"
"FIRSTE"	"First Edge USA"
"STREAMLT"	"Streamlight"
"UNITED"	"United"
"KABAR"	"Ka-Bar"
"GRILLI"	"Grilliput"
"AMKSOL"	"Survive Outdoors Longer"
"TERRAL"	"TerraLUX"
"JOYFUR"	"Fury"
"MEDFOR"	"Medford Knife & Tool"
"GARGOY"	"Gargoyles"
"FISPEN"	"Fisher Space Pens"
