"JETBEA"	"JetBeam"
"ALMARX"	"Al Mar Knives"
"AMKXXX"	"Adventure Medical Kits"
"HOWARD"	"Howard Leight"
"KIZERX"	"Kizer"
"ZIPPOL"	"Zippo Lighters"
"VARGOX"	"Vargo"
"HWIXXX"	"HWI"
"ONTARI"	"Ontario Knives"
"COLDJP"	"Cold Steel"
"SNUGPK"	"SnugPak"
"MARTTI"	"Marttini Knives"
"SCHIMP"	"Imperial Schrade"
"RENEGA"	"Renegade Tactical Steel"
"KERKIT"	"Kershaw Kitchen Knives"
"OLIGHT"	"OLIGHT"
"WILDOX"	"Wildo"
"MANTIS"	"Mantis Knives"
"SCHRKN"	"Schrade Cutlery"
"SMITHS"	"Smith's Sharpeners"
"HAZARD"	"Hazard4"
"GERBKN"	"Gerber Knives"
"GTKXXX"	"GT Knives"
"HAVALO"	"Havalon Knives"
"DMTXXX"	"DMT Sharpeners"
"GEIGER"	"Geigerrig Tactical"
"AQUAFO"	"AquaForce"
"NITEYE"	"Niteye"
"REDROC"	"Red Rock Gear"
"MAXPED"	"Maxpedition"
"TEXSPO"	"Texsport"
"ALPENX"	"Alpen"
"BOKERX"	"Boker Knives"
"PROFOR"	"ProForce Equipment"
"MARKSM"	"Marksman Products"
"CAMILL"	"Camillus"
"HATCHX"	"Hatch Gloves"
"MICROT"	"Microtech"
"UMBUSH"	"Bushnell Optics"
"ASPHAN"	"ASP Handcuffs"
"OLDTIM"	"Old Timer"
"UNITLO"	"Lord Of The Rings"
"NITEIN"	"Inova"
"JOYFUR"	"Fury Sporting Cutlery"
"KABARX"	"KaBar Cutlery"
"UZIXXX"	"Uzi"
"GATCOX"	"Gatco Sharpeners"
"LODGEX"	"Lodge Cast Iron"
"CRKTXX"	"Columbia River Knife & Tool"
"SPYSPR"	"Spyderco Sprint Runs"
"PHOTON"	"Photon Micro-Lights"
"ASPXXX"	"ASP Products"
"KLYMIT"	"Klymit"
"FOXKNV"	"Fox Knives"
"KABECK"	"Becker"
"DPXGEA"	"DPx Gear"
"SOGMAP"	"SOG MAP"
"GRILLI"	"Grilliput"
