"FOL"	"Folding Knives"
"TRI"	"Training Knives"
"GLO"	"Gloves"
"OSH"	"Sling Shots"
"PEP"	"Pepper Spray"
"EYA"	"Accessories"
"TSP"	"Spears"
"PAD"	"Pads"
"DSG"	"Disguise"
"BAC"	"Baton Accessories"
"EAR"	"Hearing Protection"
"CLI"	"Climbing & Safety Gear"
"MOA"	"Accessories"
"SHO"	"Shorts"
"HAH"	"Handcuff Accessories"
"LBP"	"Load Bearing Platform"
"KSS"	"Sharpeners"
"FAC"	"Flashlight Accessories"
"SHS"	"Sharpener Kits"
"POP"	"Displays"
"WAC"	"Accessories"
"OST"	"Stoves"
"M10"	"10 Round Magazines"
"HAT"	"Hat"
"SCO"	"Scopes"
"DIS"	"Non-Stock - Customer Discount"
"KIB"	"Storage"
"HTA"	"Tactical Holsters"
"OCC"	"Coolers"
"FOA"	"Knife Accessories"
"TRU"	"Trucks"
"TRA"	"Training Products"
"OSB"	"Sleeping"
"FOO"	"Footwear"
"HAN"	"Handcuffs"
"3HO"	"Houseware"
"SVL"	"Survival"
"PAC"	"Tactical Backpacks"
"THY"	"Tactical Hydration"
"JAC"	"Jackets"
"THI"	"Thigh Rigs"
"TOY"	"Toys & Games"
"SUN"	"Sunglasses"
"PUS"	"Push Dagger"
"ACC"	"L.E. Accessories"
"PEN"	"Pens"
"KAR"	"Karambit"
"AXE"	"Axes & Hatchets"
"BOA"	"Body Armor"
"CAT"	"Catalog"
"FIS"	"Fishing"
"MOD"	"MODs"
"FLW"	"Weapon Lights"
"SHI"	"Shirts"
"HAC"	"Handgun Accessories"
"SKA"	"Other Accessories"
"LAC"	"Long Gun Accessories"
"FTA"	"Tactical Flashlights"
"KIS"	"Sets"
"EYE"	"Goggles"
"SAW"	"Saws"
"OCW"	"Cookware"
"BEL"	"Belts"
"POU"	"Pouches"
"CAU"	"Automatic Less Than 2 in."
"FLT"	"Tactical Flashlights"
"CAC"	"Camping Accessories"
"FLD"	"Dive Lights"
"FLH"	"Headlamps"
"PWR"	"Solar Power/Portable Power"
"KIA"	"Kitchen Gadget"
"HDU"	"Duty Holsters"
"DEC"	"Skate Decks"
"MAC"	"Machetes"
"OBP"	"Backpacks"
"TOO"	"Multi-Tools"
"FLA"	"Handheld Flashlights"
"OIS"	"Instruments"
"STR"	"Throwing Stars"
"FIX"	"Fixed Blades Knives"
"THO"	"Throwing Knives"
"RES"	"Restricted Items"
"OTN"	"Tents"
"WHE"	"Wheels"
"GOG"	"Goggles"
"TET"	"Tactical Entry Tool"
"OTS"	"Automatic Out The Side"
"MUL"	"Multi-Blade Knives"
"OPT"	"Binoculars/Monoculars"
"UND"	"Under Garments"
"NEC"	"Neck Knife"
"PER"	"Personal Defense"
"BGS"	"Gear Bags"
"SAF"	"Gun Safes & Storage"
"RCL"	"Rechargeable Lights"
"SHA"	"Sharpeners"
"ATZ"	"Atomizers"
"FLK"	"Keychain Lights"
"FWA"	"Accessories"
"NOV"	"Novelty Gifts"
"KIT"	"Kitchen Knives"
"SAT"	"Safety/Shooting"
"GRO"	"Grooming Products"
"TSV"	"Shovels"
"BAT"	"Batons"
"BUT"	"Butterfly"
"BTY"	"Batteries"
"SCI"	"Scissors"
"PAN"	"Pants"
"BAE"	"Duty Belts Accessories"
"BOO"	"Books & Videos"
"FAN"	"Fantasy"
"FAL"	"Area Lights"
"CFL"	"Fuel"
"HCO"	"Concealment Holsters"
"LIA"	"Lighter Accessories"
"OAC"	"Optic Accessories"
"ASS"	"Assisted Opening Knives"
"SWO"	"Swords & Accessories"
"OHY"	"Hydration Systems"
"WAT"	"Watches"
"GIF"	"Flasks/Wallets/Cigar Cutter"
"OTA"	"Accessories"
"CAS"	"Hard Cases"
"M30"	"30 Round Magazines"
"HEA"	"Headwear"
"PAX"	"Protective Gear"
"STC"	"Stocks"
"TAC"	"Tactical"
"LIG"	"Lighters"
"OTF"	"Automatic Out The Front"
