"BATONS"	"Batons & Accessories"
"BELTS"	"Belts & Pouches"
"PERSONAL"	"Personal Protection"
"GIFTS"	"Gifts"
"FOOT"	"Footwear Products"
"KITACC"	"Kitchen Accessories"
"SURVIVAL"	"Survival"
"HANDCUFFS"	"Handcuffs & Accessories"
"AIRSOFT"	"Airsoft Guns & Accessories"
"ECIGS"	"E-Cigs"
"EYE"	"Eyewear"
"HOLSTERS"	"Holsters"
"KIT"	"Kitchen Cutlery"
"SOLAR POWE"	"Solar Power/Portable Power"
"INSTRUMENT"	"Instruments & Accessories"
"LIGHT"	"Flashlights"
"GRO"	"Grooming & Manicure"
"WEAPON ACC"	"Weapon Accessories"
"GEAR BAGS"	"Gear Bags & Cases"
"ARCHERY"	"Archery & Accessories"
"SHARP"	"Sharpeners Products"
"EXCLUSIVE"	"Exclusive Products"
"DISCONTINUED"	"Discontinued Products"
"WEBSPECIAL"	"Web Only Specials"
"PREORDER"	"Preorder Products"
"HOT"	"Hot Products"
"CLOSEOUT"	"Closeouts"
"SPECIALS"	"Specials"
"NEW"	"New Arrivals"
"SHIPPING"	"Shipping Charges"
"NA"	"NA"
"BATTERIES"	"Batteries"
"SPIFF"	"Spiff Items"
"VIDEOS"	"Videos & Books"
"CLOTHING"	"Clothing"
"POS"	"Point of Sale"
"WATCHES"	"Watch Products"
"SWORDS"	"Sword Products"
"LAW"	"Law Enforcement Products"
"CAMPING"	"Camping & Backpacking"
"OPTICS"	"Optics"
"TOOLS"	"Tools"
"LIGHTERS"	"Lighter Products"
"KNIVES"	"Knives"
